Location,Program,jobNumber,database,domn,outfile,countries,repestoptions,coverage,param1,param2
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_1,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_1_2_immback_2012,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_2,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_1_2_immig_2012,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_3,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_1_2_immback_2015,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_4,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_1_2_immig_2015,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_5,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_1_2_immback_2018,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_6,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_1_2_immig_2018,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_7,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_escs_immback_2012,"""CNT2022""",flag,pisacoverage,escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_8,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_escs_immig_2012,"""CNT2022""",flag,pisacoverage,escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_9,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_escs_immback_2015,"""CNT2022""",flag,pisacoverage,escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_10,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_escs_immig_2015,"""CNT2022""",flag,pisacoverage,escs,immig
