GENESIS-Tabelle: 12211-0101
Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:;;;;;;;;;;;;;
Deutschland, Jahre, Geschlecht, Altersgruppen, Beruflicher;;;;;;;;;;;;;
Bildungsabschluss;;;;;;;;;;;;;
Mikrozensus;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;
Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;
;;;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss;Beruflicher Bildungsabschluss
;;;Lehre / Berufsausbildung;Fachschulabschluss;Fachschulabschluss in der ehemaligen DDR;Bachelor;Master;Diplom;Promotion;Ohne Angabe zur Art des Abschlusses;In schulischer oder beruflicher Ausbildung;Nicht in schulischer oder beruflicher Ausbildung;Insgesamt
2023;männlich;15 bis unter 25 Jahre;715;89;x;142;13;17;/;/;2712;697;4386
2023;männlich;25 bis unter 35 Jahre;1855;565;x;721;595;222;54;/;277;1191;5480
2023;männlich;35 bis unter 45 Jahre;2073;598;x;411;341;704;153;/;27;1200;5507
2023;männlich;45 bis unter 55 Jahre;2294;609;18;94;88;927;144;/;/;1128;5309
2023;männlich;55 bis unter 65 Jahre;3117;847;63;36;30;1113;160;/;/;1112;6480
2023;männlich;65 bis unter 75 Jahre;2196;551;68;16;10;869;118;/;/;623;4451
2023;männlich;75 Jahre und mehr;1808;465;76;8;/;655;103;/;/;517;3639
2023;männlich;Insgesamt;14059;3725;224;1429;1083;4507;733;/;3024;6468;35253
2023;weiblich;15 bis unter 25 Jahre;498;196;x;175;20;29;/;/;2620;549;4087
2023;weiblich;25 bis unter 35 Jahre;1471;684;x;793;592;369;56;/;205;951;5121
2023;weiblich;35 bis unter 45 Jahre;1883;686;x;387;302;897;130;/;26;1094;5406
2023;weiblich;45 bis unter 55 Jahre;2382;625;44;97;75;891;99;/;8;1137;5358
2023;weiblich;55 bis unter 65 Jahre;3342;730;165;45;25;885;79;/;/;1317;6588
2023;weiblich;65 bis unter 75 Jahre;2591;424;140;11;9;653;45;/;/;1122;4997
2023;weiblich;75 Jahre und mehr;2525;245;121;/;/;353;33;/;/;1758;5046
2023;weiblich;Insgesamt;14692;3591;470;1515;1027;4076;444;/;2861;7927;36603
2023;Insgesamt;15 bis unter 25 Jahre;1213;285;x;317;34;45;/;/;5331;1245;8474
2023;Insgesamt;25 bis unter 35 Jahre;3326;1249;x;1514;1187;591;110;/;482;2142;10602
2023;Insgesamt;35 bis unter 45 Jahre;3956;1284;x;798;643;1602;283;/;52;2294;10912
2023;Insgesamt;45 bis unter 55 Jahre;4676;1234;62;192;163;1817;243;/;14;2265;10667
2023;Insgesamt;55 bis unter 65 Jahre;6459;1577;228;80;55;1998;239;/;/;2429;13068
2023;Insgesamt;65 bis unter 75 Jahre;4787;976;208;27;19;1522;163;/;/;1745;9448
2023;Insgesamt;75 Jahre und mehr;4334;711;197;15;9;1008;136;/;/;2275;8685
2023;Insgesamt;Insgesamt;28750;7316;695;2944;2110;8583;1177;/;5885;14396;71856
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 27.05.2024 / 12:05:17
