GENESIS-Tabelle: 12211-0102
Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:;;;;;;
Deutschland, Jahre, Geschlecht, Altersgruppen,;;;;;;
Bildungsstatus;;;;;;
Mikrozensus;;;;;;
Deutschland;;;;;;
Bevölkerung ab 15 J. in Hauptwohnsitzhaushalten (1000);;;;;;
;;;Bildungsstatus;Bildungsstatus;Bildungsstatus;Bildungsstatus
;;;Niedriger Bildungsabschluss;Mittlerer Bildungsabschluss;Hoher Bildungsabschluss;Insgesamt
2023;männlich;15 bis unter 25 Jahre;2618;1535;217;4386
2023;männlich;25 bis unter 35 Jahre;1004;2478;1997;5480
2023;männlich;35 bis unter 45 Jahre;963;2456;2088;5507
2023;männlich;45 bis unter 55 Jahre;932;2583;1794;5309
2023;männlich;55 bis unter 65 Jahre;934;3377;2168;6480
2023;männlich;65 bis unter 75 Jahre;571;2288;1592;4451
2023;männlich;75 Jahre und mehr;539;1802;1298;3639
2023;männlich;Insgesamt;7561;16520;11155;35253
2023;weiblich;15 bis unter 25 Jahre;2226;1558;286;4087
2023;weiblich;25 bis unter 35 Jahre;769;2266;2086;5121
2023;weiblich;35 bis unter 45 Jahre;887;2518;2001;5406
2023;weiblich;45 bis unter 55 Jahre;953;2925;1480;5358
2023;weiblich;55 bis unter 65 Jahre;1152;3922;1515;6588
2023;weiblich;65 bis unter 75 Jahre;1098;2834;1065;4997
2023;weiblich;75 Jahre und mehr;1845;2555;646;5046
2023;weiblich;Insgesamt;8930;18578;9078;36603
2023;Insgesamt;15 bis unter 25 Jahre;4844;3093;502;8474
2023;Insgesamt;25 bis unter 35 Jahre;1773;4745;4083;10602
2023;Insgesamt;35 bis unter 45 Jahre;1849;4974;4089;10912
2023;Insgesamt;45 bis unter 55 Jahre;1885;5508;3274;10667
2023;Insgesamt;55 bis unter 65 Jahre;2086;7299;3683;13068
2023;Insgesamt;65 bis unter 75 Jahre;1669;5122;2657;9448
2023;Insgesamt;75 Jahre und mehr;2384;4357;1944;8685
2023;Insgesamt;Insgesamt;16491;35098;20232;71856
__________
© Statistisches Bundesamt (Destatis), 2024
Stand: 27.05.2024 / 12:01:17
