GENESIS-Tabelle: 12211-9018
Durchschnittliche Körpergröße, durchschnittliches;;;;;;;;
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,;;;;;;;;
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen;;;;;;;;
Mikrozensus;;;;;;;;
Deutschland;;;;;;;;
;;;2013;2013;2013;2017;2017;2017
;;;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index
;;;m;kg;kg/qm;m;kg;kg/qm
männlich;ledig;18 bis unter 20 Jahre;1,81;75,7;23,1;1,81;75,8;23,1
männlich;ledig;20 bis unter 25 Jahre;1,81;78,8;24,1;1,81;79,2;24,2
männlich;ledig;25 bis unter 30 Jahre;1,81;81,0;24,8;1,81;82,1;25,1
männlich;ledig;30 bis unter 35 Jahre;1,81;83,0;25,5;1,80;83,6;25,7
männlich;ledig;35 bis unter 40 Jahre;1,80;84,6;26,1;1,80;84,9;26,1
männlich;ledig;40 bis unter 45 Jahre;1,79;85,2;26,5;1,80;86,5;26,7
männlich;ledig;45 bis unter 50 Jahre;1,79;85,8;26,6;1,80;87,1;27,0
männlich;ledig;50 bis unter 55 Jahre;1,78;85,8;27,0;1,79;86,9;27,1
männlich;ledig;55 bis unter 60 Jahre;1,77;85,5;27,3;1,78;86,3;27,2
männlich;ledig;60 bis unter 65 Jahre;1,76;84,5;27,4;1,77;85,9;27,4
männlich;ledig;65 bis unter 70 Jahre;1,75;83,6;27,2;1,76;85,5;27,7
männlich;ledig;70 bis unter 75 Jahre;1,74;81,9;27,0;1,75;83,2;27,2
männlich;ledig;75 Jahre und mehr;1,73;78,6;26,3;1,73;80,4;26,7
männlich;ledig;Insgesamt;1,80;82,0;25,3;1,80;82,9;25,6
männlich;verheiratet;18 bis unter 20 Jahre;/;/;/;/;/;/
männlich;verheiratet;20 bis unter 25 Jahre;1,79;82,8;25,7;1,78;81,3;25,7
männlich;verheiratet;25 bis unter 30 Jahre;1,80;84,2;26,0;1,80;84,7;26,2
männlich;verheiratet;30 bis unter 35 Jahre;1,80;85,0;26,2;1,80;85,8;26,4
männlich;verheiratet;35 bis unter 40 Jahre;1,80;86,2;26,6;1,80;86,6;26,7
männlich;verheiratet;40 bis unter 45 Jahre;1,80;87,0;26,8;1,80;87,8;27,1
männlich;verheiratet;45 bis unter 50 Jahre;1,80;87,0;26,9;1,80;87,8;27,1
männlich;verheiratet;50 bis unter 55 Jahre;1,79;87,2;27,2;1,80;88,1;27,3
männlich;verheiratet;55 bis unter 60 Jahre;1,78;87,3;27,5;1,79;88,1;27,5
männlich;verheiratet;60 bis unter 65 Jahre;1,77;87,0;27,8;1,78;87,5;27,7
männlich;verheiratet;65 bis unter 70 Jahre;1,76;85,5;27,6;1,77;86,7;27,8
männlich;verheiratet;70 bis unter 75 Jahre;1,75;84,2;27,4;1,76;84,9;27,5
männlich;verheiratet;75 Jahre und mehr;1,74;80,7;26,8;1,74;81,4;26,8
männlich;verheiratet;Insgesamt;1,78;85,5;27,1;1,78;86,2;27,2
männlich;verwitwet;18 bis unter 20 Jahre;/;/;/;-;-;-
männlich;verwitwet;20 bis unter 25 Jahre;/;/;/;/;/;/
männlich;verwitwet;25 bis unter 30 Jahre;/;/;/;/;/;/
männlich;verwitwet;30 bis unter 35 Jahre;/;/;/;/;/;/
männlich;verwitwet;35 bis unter 40 Jahre;/;/;/;/;/;/
männlich;verwitwet;40 bis unter 45 Jahre;1,80;86,4;26,6;/;/;/
männlich;verwitwet;45 bis unter 50 Jahre;1,79;84,7;26,4;1,79;85,8;26,9
männlich;verwitwet;50 bis unter 55 Jahre;1,78;85,3;26,9;1,78;86,4;27,2
männlich;verwitwet;55 bis unter 60 Jahre;1,78;87,4;27,7;1,78;87,4;27,5
männlich;verwitwet;60 bis unter 65 Jahre;1,76;85,2;27,6;1,77;88,6;28,2
männlich;verwitwet;65 bis unter 70 Jahre;1,75;86,2;28,0;1,76;86,8;28,0
männlich;verwitwet;70 bis unter 75 Jahre;1,75;84,4;27,5;1,75;85,6;27,8
männlich;verwitwet;75 Jahre und mehr;1,73;79,5;26,7;1,73;80,3;26,7
männlich;verwitwet;Insgesamt;1,74;82,0;27,1;1,75;82,8;27,2
männlich;geschieden;18 bis unter 20 Jahre;/;/;/;/;/;/
männlich;geschieden;20 bis unter 25 Jahre;/;/;/;/;/;/
männlich;geschieden;25 bis unter 30 Jahre;1,81;87,1;26,6;1,79;83,5;26,2
männlich;geschieden;30 bis unter 35 Jahre;1,80;82,4;25,6;1,80;86,5;26,6
männlich;geschieden;35 bis unter 40 Jahre;1,80;86,2;26,6;1,80;85,3;26,4
männlich;geschieden;40 bis unter 45 Jahre;1,80;86,7;26,8;1,80;87,4;27,0
männlich;geschieden;45 bis unter 50 Jahre;1,80;86,5;26,8;1,79;87,3;27,1
männlich;geschieden;50 bis unter 55 Jahre;1,79;86,5;27,1;1,79;87,7;27,3
