GENESIS-Tabelle: 12211-9019
Body-Mass-Index: Deutschland, Jahre (bis 2017),;;;;;;;;;;
Gewichtsklassifikation, Geschlecht, Familienstand,;;;;;;;;;;
Altersgruppen;;;;;;;;;;
Mikrozensus;;;;;;;;;;
Deutschland;;;;;;;;;;
;;;2013;2013;2013;2013;2017;2017;2017;2017
;;;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index
;;;Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht);Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht)
;;;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent
männlich;ledig;18 bis unter 20 Jahre;4,3;4,1;75,3;16,3;5,7;4,9;71,6;17,8
männlich;ledig;20 bis unter 25 Jahre;2,0;5,9;67,2;24,8;2,6;6,8;64,9;25,7
männlich;ledig;25 bis unter 30 Jahre;1,5;7,9;59,3;31,3;1,1;9,6;55,9;33,5
männlich;ledig;30 bis unter 35 Jahre;0,7;10,6;52,1;36,5;0,9;11,9;49,8;37,3
männlich;ledig;35 bis unter 40 Jahre;/;13,7;45,8;39,9;0,9;14,0;44,4;40,7
männlich;ledig;40 bis unter 45 Jahre;/;16,3;41,4;41,6;/;17,6;39,3;42,5
männlich;ledig;45 bis unter 50 Jahre;/;18,0;38,7;42,6;/;19,5;36,8;43,1
männlich;ledig;50 bis unter 55 Jahre;/;20,1;36,7;42,4;/;20,8;35,6;42,9
männlich;ledig;55 bis unter 60 Jahre;/;22,9;34,4;41,6;/;21,6;34,1;43,6
männlich;ledig;60 bis unter 65 Jahre;/;24,3;33,5;41,0;/;24,9;34,9;39,5
männlich;ledig;65 bis unter 70 Jahre;/;20,9;34,0;43,7;/;26,9;31,2;41,2
männlich;ledig;70 bis unter 75 Jahre;/;22,4;34,6;42,1;/;22,6;32,8;43,5
männlich;ledig;75 Jahre und mehr;/;14,2;38,8;45,5;/;19,0;36,3;43,9
männlich;ledig;Insgesamt;1,4;11,7;53,1;33,8;1,5;12,9;50,5;35,1
männlich;verheiratet;18 bis unter 20 Jahre;/;/;/;/;/;/;/;/
männlich;verheiratet;20 bis unter 25 Jahre;/;14,4;50,8;34,5;/;/;45,8;38,3
männlich;verheiratet;25 bis unter 30 Jahre;/;13,0;43,4;42,9;/;15,5;41,3;42,3
männlich;verheiratet;30 bis unter 35 Jahre;/;14,2;41,6;43,7;/;15,6;39,7;44,2
männlich;verheiratet;35 bis unter 40 Jahre;/;15,3;37,7;46,8;/;16,7;37,1;46,0
männlich;verheiratet;40 bis unter 45 Jahre;/;16,8;35,0;48,0;/;19,3;32,8;47,6
männlich;verheiratet;45 bis unter 50 Jahre;/;17,9;32,7;49,1;/;19,3;30,8;49,6
männlich;verheiratet;50 bis unter 55 Jahre;/;20,3;29,8;49,7;/;21,1;29,8;48,9
männlich;verheiratet;55 bis unter 60 Jahre;/;22,7;26,5;50,6;/;22,7;27,3;49,7
männlich;verheiratet;60 bis unter 65 Jahre;/;24,9;24,3;50,6;/;24,1;25,9;49,7
männlich;verheiratet;65 bis unter 70 Jahre;/;23,6;25,1;51,0;/;25,3;24,5;49,9
männlich;verheiratet;70 bis unter 75 Jahre;/;20,8;27,1;51,8;/;22,2;27,1;50,3
männlich;verheiratet;75 Jahre und mehr;0,6;16,9;32,6;49,9;0,5;17,5;33,2;48,7
männlich;verheiratet;Insgesamt;0,3;19,6;30,8;49,4;0,3;20,5;30,6;48,6
männlich;verwitwet;18 bis unter 20 Jahre;-;-;/;/;-;-;-;-
männlich;verwitwet;20 bis unter 25 Jahre;-;-;/;-;-;-;/;-
männlich;verwitwet;25 bis unter 30 Jahre;-;-;/;/;-;-;/;/
männlich;verwitwet;30 bis unter 35 Jahre;-;-;/;/;-;/;/;/
männlich;verwitwet;35 bis unter 40 Jahre;-;/;/;/;-;/;/;/
männlich;verwitwet;40 bis unter 45 Jahre;-;/;/;/;/;/;/;/
männlich;verwitwet;45 bis unter 50 Jahre;-;/;38,4;48,7;-;/;/;/
männlich;verwitwet;50 bis unter 55 Jahre;/;/;30,9;51,0;/;/;34,9;43,3
männlich;verwitwet;55 bis unter 60 Jahre;/;24,0;28,2;47,0;-;21,6;32,0;46,4
männlich;verwitwet;60 bis unter 65 Jahre;/;23,2;27,7;48,7;/;30,0;22,0;47,5
männlich;verwitwet;65 bis unter 70 Jahre;/;29,5;25,5;44,8;/;27,2;26,0;45,5
männlich;verwitwet;70 bis unter 75 Jahre;/;23,4;27,9;48,2;/;25,3;25,4;49,1
männlich;verwitwet;75 Jahre und mehr;/;16,8;34,0;48,7;/;17,2;34,0;48,0
männlich;verwitwet;Insgesamt;/;19,7;31,5;48,3;0,7;20,4;31,5;47,5
männlich;geschieden;18 bis unter 20 Jahre;/;-;-;-;-;-;/;-
männlich;geschieden;20 bis unter 25 Jahre;-;-;/;/;-;/;/;/
männlich;geschieden;25 bis unter 30 Jahre;-;/;/;/;/;/;/;/
männlich;geschieden;30 bis unter 35 Jahre;/;15,1;51,7;32,1;/;15,6;36,3;47,4
männlich;geschieden;35 bis unter 40 Jahre;-;18,6;40,4;41,0;/;15,4;41,2;43,2
männlich;geschieden;40 bis unter 45 Jahre;/;17,7;33,9;48,0;/;18,3;31,9;49,7
männlich;geschieden;45 bis unter 50 Jahre;/;17,5;34,6;47,6;/;19,5;32,6;47,4
männlich;geschieden;50 bis unter 55 Jahre;/;19,9;33,3;46,5;/;20,3;29,2;49,6
männlich;geschieden;55 bis unter 60 Jahre;/;21,1;31,4;46,7;/;23,0;30,0;46,4
männlich;geschieden;60 bis unter 65 Jahre;/;23,4;27,6;48,0;/;25,0;28,4;46,1
männlich;geschieden;65 bis unter 70 Jahre;/;22,0;31,1;46,1;/;23,6;29,0;46,6
männlich;geschieden;70 bis unter 75 Jahre;/;20,8;31,4;47,1;/;23,1;31,4;44,9
männlich;geschieden;75 Jahre und mehr;/;17,5;36,9;44,5;/;19,1;32,7;47,7
männlich;geschieden;Insgesamt;0,6;19,8;33,3;46,3;0,6;21,3;31,0;47,1
männlich;Insgesamt;18 bis unter 20 Jahre;4,3;4,1;75,2;16,3;5,7;5,0;71,6;17,8
männlich;Insgesamt;20 bis unter 25 Jahre;2,0;6,2;66,8;25,1;2,6;7,0;64,4;26,0
männlich;Insgesamt;25 bis unter 30 Jahre;1,3;8,8;56,7;33,2;1,0;10,6;53,5;34,9
männlich;Insgesamt;30 bis unter 35 Jahre;0,6;12,1;48,0;39,2;0,8;13,4;45,8;40,1
männlich;Insgesamt;35 bis unter 40 Jahre;0,3;14,8;41,1;43,7;0,5;15,5;40,4;43,6
männlich;Insgesamt;40 bis unter 45 Jahre;0,4;16,7;36,9;46,0;0,3;18,7;34,8;46,2
männlich;Insgesamt;45 bis unter 50 Jahre;0,4;17,9;34,4;47,4;0,3;19,4;32,7;47,6
männlich;Insgesamt;50 bis unter 55 Jahre;0,3;20,2;31,6;47,9;0,4;20,9;31,0;47,6
männlich;Insgesamt;55 bis unter 60 Jahre;0,4;22,6;28,2;48,8;0,4;22,6;28,8;48,2
männlich;Insgesamt;60 bis unter 65 Jahre;0,4;24,6;25,6;49,4;0,4;24,5;27,0;48,1
männlich;Insgesamt;65 bis unter 70 Jahre;0,4;23,6;26,3;49,8;0,4;25,3;25,6;48,7
männlich;Insgesamt;70 bis unter 75 Jahre;0,3;21,1;27,8;50,7;/;22,6;27,7;49,4
männlich;Insgesamt;75 Jahre und mehr;0,6;16,8;33,2;49,3;0,6;17,6;33,5;48,4
männlich;Insgesamt;Insgesamt;0,7;17,1;38,0;44,2;0,8;18,1;37,2;44,0
weiblich;ledig;18 bis unter 20 Jahre;13,3;2,8;73,4;10,5;12,2;3,3;73,4;11,2
weiblich;ledig;20 bis unter 25 Jahre;9,2;4,5;73,8;12,5;8,7;4,6;73,9;12,8
weiblich;ledig;25 bis unter 30 Jahre;6,7;5,9;72,3;15,1;6,5;6,8;70,5;16,2
weiblich;ledig;30 bis unter 35 Jahre;5,5;8,2;69,1;17,2;5,0;9,0;68,0;17,9
weiblich;ledig;35 bis unter 40 Jahre;4,9;9,3;66,4;19,4;3,8;10,8;65,3;20,1
weiblich;ledig;40 bis unter 45 Jahre;4,0;11,8;62,8;21,4;3,6;13,2;60,1;23,2
weiblich;ledig;45 bis unter 50 Jahre;3,4;12,6;59,7;24,3;4,0;12,9;58,7;24,4
weiblich;ledig;50 bis unter 55 Jahre;3,0;15,6;55,1;26,3;3,4;16,0;54,5;26,0
weiblich;ledig;55 bis unter 60 Jahre;3,7;17,2;49,3;29,8;3,6;16,3;52,1;28,0
weiblich;ledig;60 bis unter 65 Jahre;/;19,7;47,2;29,3;/;19,0;48,8;28,1
weiblich;ledig;65 bis unter 70 Jahre;/;18,8;45,6;33,1;/;21,6;46,1;29,8
weiblich;ledig;70 bis unter 75 Jahre;/;16,8;48,5;31,6;/;23,2;45,1;27,9
weiblich;ledig;75 Jahre und mehr;4,5;13,5;50,2;31,8;3,9;15,1;50,6;30,5
weiblich;ledig;Insgesamt;6,7;8,2;67,2;17,8;6,2;9,1;66,3;18,4
weiblich;verheiratet;18 bis unter 20 Jahre;/;/;/;/;/;/;/;/
weiblich;verheiratet;20 bis unter 25 Jahre;8,1;9,8;57,4;24,7;6,2;8,1;62,2;23,6
weiblich;verheiratet;25 bis unter 30 Jahre;5,1;9,6;64,6;20,7;4,8;10,8;61,2;23,2
weiblich;verheiratet;30 bis unter 35 Jahre;4,6;10,5;63,6;21,3;3,9;10,9;62,0;23,3
weiblich;verheiratet;35 bis unter 40 Jahre;3,4;10,2;63,0;23,4;3,5;10,7;61,9;23,9
weiblich;verheiratet;40 bis unter 45 Jahre;2,7;11,1;62,2;24,0;2,9;11,9;60,3;24,9
weiblich;verheiratet;45 bis unter 50 Jahre;2,5;11,9;59,5;26,0;2,5;12,3;57,8;27,5
weiblich;verheiratet;50 bis unter 55 Jahre;2,0;14,9;52,8;30,2;2,3;14,4;54,2;29,1
weiblich;verheiratet;55 bis unter 60 Jahre;1,7;16,6;48,4;33,3;2,1;15,6;50,7;31,6
